rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/entropy_loss,train/n_updates,train/loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/std,train/value_loss,train/learning_rate,train/clip_range
8.66382765,68.87,280,8192,1,29,,,,,,,,,,,
10.80113646,64.43,270,16384,2,60,0.01272342,-17.066472297906877,10,11.07307243347168,0.1516845703125,-0.019766688346862793,-0.027361904089775634,1.0042868852615356,25.038086807727815,0.0003,0.2
7.838873100000001,60.3,263,24576,3,93,0.009910069,-17.079536217451096,20,8.031317710876465,0.11116943359375,0.1420438289642334,-0.026789758997620084,1.0044909715652466,20.12452234327793,0.0003,0.2
11.56125709,65.41,264,32768,4,123,0.009456338,-17.079033344984055,30,6.979429244995117,0.105029296875,0.44555461406707764,-0.0255589319524006,1.0042089223861694,17.98113830983639,0.0003,0.2
10.849108080000002,65.11,266,40960,5,153,0.008608161,-17.07470520734787,40,6.361964225769043,0.08983154296875,0.6050100326538086,-0.024154230679414468,1.0036643743515015,16.07551090121269,0.0003,0.2
11.781809119999998,64.72,266,49152,6,184,0.009336511,-17.08662345409393,50,6.186831474304199,0.099267578125,0.6176192164421082,-0.02584141964034643,1.0057357549667358,17.0179181933403,0.0003,0.2
12.181999560000001,68.75,269,57344,7,213,0.009336101,-17.128637754917143,60,7.536128044128418,0.10462646484375,0.6665045022964478,-0.026884614664595574,1.0102161169052124,16.759539747238158,0.0003,0.2
12.27615971,65.97,269,65536,8,243,0.0106188115,-17.15661002397537,70,7.956333637237549,0.1238037109375,0.6775504350662231,-0.030327148951619164,1.0112470388412476,16.769576287269594,0.0003,0.2
12.501811179999997,66.96,270,73728,9,272,0.011697226,-17.16684011220932,80,8.234859466552734,0.14482421875,0.6754388809204102,-0.034129890252370385,1.012039065361023,17.329667887091638,0.0003,0.2
14.87145293,69.96,270,81920,10,302,0.012498025,-17.184033936262132,90,7.235799312591553,0.153271484375,0.7148818969726562,-0.035424831467389596,1.0138987302780151,15.465266853570938,0.0003,0.2
14.121676910000001,69.7,272,90112,11,331,0.012546837,-17.178839242458345,100,5.695295333862305,0.147119140625,0.7665890455245972,-0.03536614292825106,1.0122838020324707,12.820045220851899,0.0003,0.2
16.1413084,73.19,273,98304,12,359,0.0135620795,-17.179491817951202,110,5.236232757568359,0.17327880859375,0.7856574058532715,-0.03780129659426166,1.0129519701004028,12.142713798582554,0.0003,0.2
16.13937852,77.4,274,106496,13,387,0.01355681,-17.189584338665007,120,4.321836948394775,0.1563232421875,0.8246891498565674,-0.0377569750227849,1.0137090682983398,10.474629275500774,0.0003,0.2
