time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_fraction,train/loss,train/policy_gradient_loss,train/std,train/learning_rate,train/clip_range,train/n_updates
307,26,1,8192,67.54,5.633687480000001,,,,,,,,,,,
293,55,2,16384,64.94,5.24877885,25.652732610702515,-0.005787372589111328,-17.072334957122802,0.011501217,0.1327880859375,12.537663459777832,-0.02645900692223222,1.0049333572387695,0.0003,0.2,10
290,84,3,24576,64.49,8.331531919999998,23.571285247802734,0.12359732389450073,-17.096194326877594,0.009143159,0.1013916015625,8.802469253540039,-0.025131543225143105,1.0063749551773071,0.0003,0.2,20
288,113,4,32768,64.6,10.722494000000001,20.002058085799217,0.4030262231826782,-17.09176340699196,0.009915569,0.10909423828125,9.243921279907227,-0.02496160201917519,1.0044810771942139,0.0003,0.2,30
285,143,5,40960,61.45,10.686844070000001,18.19909624159336,0.4969097971916199,-17.0905964076519,0.00915167,0.088916015625,7.973760604858398,-0.022771629462658892,1.0054322481155396,0.0003,0.2,40
284,172,6,49152,64.29,10.263902889999999,17.947514179348946,0.5905746221542358,-17.103598636388778,0.010124294,0.10908203125,9.624911308288574,-0.02680839765962446,1.0065349340438843,0.0003,0.2,50
283,202,7,57344,64.07,10.82895452,17.099666810035707,0.6511726379394531,-17.116453140974045,0.009866053,0.10968017578125,8.917288780212402,-0.028342199708276894,1.0082671642303467,0.0003,0.2,60
284,230,8,65536,64.96,11.23532575,17.09850294291973,0.674461305141449,-17.11080566048622,0.011144676,0.128369140625,6.590525150299072,-0.03198917108165915,1.0061743259429932,0.0003,0.2,70
285,258,9,73728,69.81,13.675789189999998,15.611452493071557,0.7057580947875977,-17.10340634584427,0.011695992,0.13712158203125,6.719005584716797,-0.0333184203998826,1.0065481662750244,0.0003,0.2,80
286,285,10,81920,72.17,14.485172470000002,15.836795058846473,0.7137736082077026,-17.11728258728981,0.011609793,0.1504150390625,6.345768928527832,-0.03405395956069697,1.0082834959030151,0.0003,0.2,90
287,313,11,90112,68.19,13.267993670000003,14.111044844985008,0.7528841495513916,-17.156877237558366,0.012136775,0.1365234375,7.4579010009765625,-0.03417215448935167,1.012089729309082,0.0003,0.2,100
289,339,12,98304,76.41,15.702878389999999,12.446708962321281,0.7888452410697937,-17.17964223623276,0.012813008,0.156787109375,5.250739097595215,-0.03692588223057101,1.013093113899231,0.0003,0.2,110
291,365,13,106496,73.58,15.893347,13.924192944169045,0.7710766196250916,-17.202947705984116,0.012408861,0.15029296875,7.199930191040039,-0.03605100575441611,1.0153260231018066,0.0003,0.2,120
292,391,14,114688,76.33,15.501416289999998,11.99385766685009,0.7969992160797119,-17.213570034503938,0.013884585,0.17091064453125,6.539291858673096,-0.03892196541710291,1.0157874822616577,0.0003,0.2,130
295,416,15,122880,83.6,20.2427506,9.038117378950119,0.8492944836616516,-17.223254692554473,0.015064903,0.180078125,3.7689545154571533,-0.04163389509631088,1.016675353050232,0.0003,0.2,140
296,441,16,131072,78.49,17.41280486,9.039339582622052,0.8574437499046326,-17.23217460513115,0.014925033,0.17513427734375,3.6467225551605225,-0.040532847475697055,1.0171656608581543,0.0003,0.2,150
298,466,17,139264,85.89,21.72130953,10.627135559916496,0.8432758450508118,-17.221465873718262,0.015715435,0.19140625,4.279722690582275,-0.04363741073029814,1.015933632850647,0.0003,0.2,160
300,490,18,147456,90.44,22.93935203,9.141477134823798,0.8616116046905518,-17.215100240707397,0.016922537,0.1941162109375,3.9118268489837646,-0.04342392162943724,1.0156570672988892,0.0003,0.2,170
302,514,19,155648,85.15,20.65969821,9.987411271035672,0.8657393455505371,-17.21083841919899,0.014951255,0.1925048828125,4.535392761230469,-0.0431668503137189,1.0154013633728027,0.0003,0.2,180
305,536,20,163840,95.03,25.370089749999998,11.959616178274155,0.8539950847625732,-17.21882920265198,0.014363811,0.1734619140625,5.101133823394775,-0.040909895149525255,1.0167237520217896,0.0003,0.2,190
308,557,21,172032,106.49,26.626751700000003,11.407710085809232,0.8547488451004028,-17.226201748847963,0.014907049,0.18114013671875,5.715490818023682,-0.04291002963364008,1.0164018869400024,0.0003,0.2,200
310,580,22,180224,103.11,25.391890829999998,11.366799691319466,0.8524206876754761,-17.20419506430626,0.015158022,0.17437744140625,5.059056282043457,-0.04256816154229455,1.0148249864578247,0.0003,0.2,210
313,600,23,188416,113.62,29.93290974,13.07599196434021,0.8436504602432251,-17.19878790974617,0.014222585,0.16585693359375,5.7190070152282715,-0.0402502422039106,1.0144282579421997,0.0003,0.2,220
316,621,24,196608,116.55,33.42735699,11.436542388796806,0.8663603067398071,-17.18572946190834,0.015410801,0.17972412109375,5.019969463348389,-0.0435189981435542,1.0130391120910645,0.0003,0.2,230
319,641,25,204800,125.43,37.70194454,11.898650029301644,0.8652836084365845,-17.187494885921478,0.015895443,0.18345947265625,4.696347713470459,-0.04120990169176366,1.0144377946853638,0.0003,0.2,240
322,659,26,212992,136.45,41.589756359999996,10.309859524667264,0.8799415826797485,-17.20384872555733,0.016817683,0.19620361328125,4.338059902191162,-0.04515876173609286,1.0156461000442505,0.0003,0.2,250
326,677,27,221184,147.32,43.54750112999999,12.683374753594398,0.8592157959938049,-17.210139667987825,0.015644826,0.183984375,6.190358638763428,-0.043653458007611334,1.0155245065689087,0.0003,0.2,260
328,697,28,229376,129.59,38.611144679999995,12.77189277112484,0.8694937825202942,-17.19847840666771,0.016320718,0.18782958984375,6.296995639801025,-0.0428904859625618,1.0150182247161865,0.0003,0.2,270
332,715,29,237568,150.67,49.655637799999994,14.424699375033379,0.8769022226333618,-17.20095153450966,0.015379472,0.19329833984375,6.795751571655273,-0.044217952327016974,1.0152612924575806,0.0003,0.2,280
334,733,30,245760,160.6,53.4248235,13.140400376915931,0.870476484298706,-17.206378591060638,0.017399464,0.19556884765625,6.971270561218262,-0.044882199729181595,1.0152885913848877,0.0003,0.2,290
338,750,31,253952,163.45,54.93760479,15.072453993558884,0.862798810005188,-17.20691321492195,0.01670447,0.1927490234375,6.947317600250244,-0.04383491431799484,1.0159093141555786,0.0003,0.2,300
342,765,32,262144,188.22,66.09726738,13.341929683089257,0.8809437155723572,-17.221106761693953,0.018119037,0.219091796875,5.598296642303467,-0.04693203410133719,1.0170270204544067,0.0003,0.2,310
345,782,33,270336,218.33,75.94369992,11.11668233126402,0.8600176572799683,-17.21397731900215,0.020084184,0.24224853515625,4.965707778930664,-0.049284996022470294,1.0156067609786987,0.0003,0.2,320
349,796,34,278528,253.79,89.91901126,12.324594597518445,0.8778275847434998,-17.204304414987565,0.017622465,0.2053955078125,5.680821418762207,-0.04434766062331619,1.015710473060608,0.0003,0.2,330
354,809,35,286720,295.09,107.16607798999998,13.906867578625679,0.8475176095962524,-17.230476832389833,0.018176824,0.2182373046875,5.220302104949951,-0.045456405822187664,1.018083930015564,0.0003,0.2,340
357,824,36,294912,310.99,113.21020251000002,10.674931013584137,0.8445236682891846,-17.244507455825804,0.019037254,0.23106689453125,4.647801399230957,-0.04696573907858692,1.0178567171096802,0.0003,0.2,350
