time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/clip_range,train/approx_kl
26,212992,68,116.47,3087,34.403478390000004,10.483443057537079,250,0.0003,3.817614793777466,0.881127655506134,-17.362416422367097,-0.042690894410043256,1.0288333892822266,0.18792724609375,0.2,0.016669037
27,221184,70,123.24,3124,36.13609414,11.749457913637162,260,0.0003,5.196682929992676,0.8809255957603455,-17.368755787611008,-0.043087698683666534,1.0299357175827026,0.17734375,0.2,0.015681509
28,229376,72,130.2,3160,37.612331579999996,12.874790653586388,270,0.0003,6.55721378326416,0.8696164488792419,-17.409966772794725,-0.0448596149792138,1.033754825592041,0.1988525390625,0.2,0.016609434
29,237568,74,141.2,3196,42.70129728,12.916571870446205,280,0.0003,5.537729740142822,0.8646800518035889,-17.417034405469895,-0.04460743523450219,1.0334789752960205,0.198291015625,0.2,0.016724478
30,245760,76,158.73,3231,51.21063258,13.579633855819703,290,0.0003,6.297021865844727,0.8546515703201294,-17.41373621225357,-0.04552849051106023,1.0332807302474976,0.21212158203125,0.2,0.016949497
31,253952,77,169.06,3265,56.67940547,11.896936693787575,300,0.0003,6.111408233642578,0.8700402975082397,-17.421073687076568,-0.04581421351613244,1.0342165231704712,0.20845947265625,0.2,0.018415734
32,262144,79,178.04,3295,60.173002589999996,14.397917822003365,310,0.0003,6.670289993286133,0.8664953112602234,-17.416012263298036,-0.04475344708043849,1.0338844060897827,0.19822998046875,0.2,0.017269831
33,270336,81,209.39,3328,72.07854248000001,14.493809086084365,320,0.0003,6.47493839263916,0.8335736989974976,-17.438051134347916,-0.04422133742191363,1.0360965728759766,0.19993896484375,0.2,0.016628928
34,278528,82,207.66,3361,72.81234219,15.081988796591759,330,0.0003,6.985898017883301,0.855675220489502,-17.44566015601158,-0.04644741081210668,1.0364665985107422,0.20994873046875,0.2,0.017742608
35,286720,84,200.06,3393,72.33495643,14.755983924865722,340,0.0003,5.350553512573242,0.8673973083496094,-17.454186940193175,-0.0442692861535761,1.0368947982788086,0.20137939453125,0.2,0.017217595
