time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/value_loss,train/std
131072,76.03,16,17.44716438,589,222,-17.232527655363082,3.657083034515381,0.837356448173523,0.2,150,-0.03984366014337866,0.013788603,0.0003,0.1642578125,10.255569459497929,1.0174897909164429
139264,87.99,17,21.689945589999997,621,224,-17.225162518024444,4.094481468200684,0.8632082343101501,0.2,160,-0.04039616588052013,0.014578447,0.0003,0.17237548828125,9.013516426086426,1.0169717073440552
147456,93.98,18,22.480831090000002,652,226,-17.204908072948456,4.058895111083984,0.8715558648109436,0.2,170,-0.042961121903499586,0.015159296,0.0003,0.1765380859375,8.64980552047491,1.0141397714614868
155648,91.77,19,21.52498009,684,227,-17.21025606393814,4.4346604347229,0.8445918560028076,0.2,180,-0.04152139589568833,0.014413951,0.0003,0.16278076171875,10.324566552042961,1.0168434381484985
163840,97.06,20,23.851430089999997,714,229,-17.240039891004564,3.9000327587127686,0.8635295033454895,0.2,190,-0.04098201956803678,0.01391203,0.0003,0.17525634765625,9.963958996534348,1.0194100141525269
172032,93.49,21,24.013785860000002,746,230,-17.26600530743599,5.057384967803955,0.8620802164077759,0.2,200,-0.040075704074115495,0.013674047,0.0003,0.16983642578125,10.331400908529758,1.0212286710739136
180224,92.87,22,25.339957080000005,778,231,-17.29485531449318,4.960248947143555,0.8790543675422668,0.2,210,-0.04197103286460333,0.014872786,0.0003,0.1733642578125,9.620115259289742,1.0239180326461792
188416,103.85,23,29.48111539,808,232,-17.313284236192704,4.2407426834106445,0.8934274911880493,0.2,220,-0.041956445856339994,0.014509581,0.0003,0.176611328125,9.105497720837594,1.025211215019226
196608,109.44,24,30.955142650000003,839,234,-17.324024558067322,5.2868242263793945,0.8845576047897339,0.2,230,-0.04157268047274556,0.015282665,0.0003,0.18046875,9.988909064233303,1.0265610218048096
204800,119.77,25,33.45053621,867,236,-17.343120896816252,4.32774543762207,0.8889250755310059,0.2,240,-0.04211180676647928,0.0156776,0.0003,0.1774169921875,9.362754434347153,1.0280662775039673
212992,126.98,26,36.07203107,894,238,-17.35797969698906,4.141427516937256,0.866604745388031,0.2,250,-0.04214554912905442,0.014283288,0.0003,0.170263671875,11.64201762676239,1.0290626287460327
221184,154.72,27,46.7640851,919,240,-17.375167524814607,5.2590765953063965,0.8631628751754761,0.2,260,-0.04319645832729293,0.016464561,0.0003,0.18858642578125,12.013759565353393,1.030903697013855
229376,159.26,28,49.494939390000006,946,242,-17.388105207681654,3.9025423526763916,0.8624843955039978,0.2,270,-0.04478495582734467,0.017842067,0.0003,0.19630126953125,10.61017015427351,1.0325392484664917
237568,144.8,29,46.077332309999996,972,244,-17.414401352405548,4.442680358886719,0.8841362595558167,0.2,280,-0.04407270788869937,0.016415525,0.0003,0.19764404296875,11.073115183413028,1.0349525213241577
