rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/loss,train/n_updates,train/learning_rate
7.06871007,27,64.98,1,298,8192,,,,,,,,,,,
10.76503159,56,70.0,2,292,16384,-0.028613229676557238,0.012726601,0.2,0.1577880859375,-17.06145731806755,24.702593243122102,-0.015036702156066895,1.004299283027649,9.922266006469727,10,0.0003
8.526202040000001,86,62.02,3,283,24576,-0.02498266710608732,0.008707318,0.2,0.0947998046875,-17.099972707033157,22.153525912761687,0.13521677255630493,1.0073643922805786,6.531431674957275,20,0.0003
10.311816480000003,116,63.34,4,281,32768,-0.02255871887828107,0.008694407,0.2,0.09071044921875,-17.13575523495674,19.556619903445245,0.4160107374191284,1.0101262331008911,8.92039680480957,30,0.0003
11.05661444,145,64.96,5,281,40960,-0.024435804976383223,0.009468364,0.2,0.09879150390625,-17.146657890081407,17.98678035736084,0.5340569019317627,1.0099940299987793,7.129814147949219,40,0.0003
10.2770659,174,67.54,6,280,49152,-0.02605093078382197,0.00966174,0.2,0.1079345703125,-17.15397314429283,16.919569632411005,0.6178863048553467,1.0108426809310913,6.4382452964782715,50,0.0003
12.584019349999998,205,67.37,7,279,57344,-0.028167435666546226,0.009199446,0.2,0.1049560546875,-17.16458049416542,19.058513808250428,0.6334012746810913,1.0120528936386108,7.296512603759766,60,0.0003
10.23935508,235,64.7,8,278,65536,-0.03279708350019064,0.011807587,0.2,0.1375732421875,-17.182480800151826,15.205207991600037,0.6897176504135132,1.0130095481872559,5.8801469802856445,70,0.0003
11.450029859999997,263,69.7,9,280,73728,-0.03273770271844114,0.010807892,0.2,0.13028564453125,-17.188899552822114,17.28394398391247,0.6898789405822754,1.0135014057159424,7.727740287780762,80,0.0003
12.509917810000001,290,70.72,10,282,81920,-0.03574677716460428,0.011970155,0.2,0.14482421875,-17.204530864953995,15.227014431357384,0.721542477607727,1.0155867338180542,6.387884140014648,90,0.0003
