rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/approx_kl,train/std,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction
4.22799976,28,8192,1,286,63.21,,,,,,,,,,,
7.453590319999998,58,16384,2,278,63.55,-0.027861940317961853,11.748615264892578,0.0121819265,1.0046415328979492,-17.067225563526154,0.2,25.83062288761139,10,0.0003,-0.021682143211364746,0.148779296875
8.62124713,87,24576,3,281,67.88,-0.02646667893131962,8.531070709228516,0.009966807,1.0085309743881226,-17.111834025382997,0.2,20.422554785013197,20,0.0003,0.15624487400054932,0.11453857421875
11.00298105,115,32768,4,284,66.36,-0.02447667828819249,7.822005271911621,0.00951183,1.007858395576477,-17.123838126659393,0.2,17.177791234850883,30,0.0003,0.43222683668136597,0.10364990234375
11.471146200000003,143,40960,5,284,65.43,-0.026113884134974796,8.21276569366455,0.010539269,1.012482762336731,-17.153521770238875,0.2,18.2736446082592,40,0.0003,0.5411816835403442,0.117431640625
9.479519079999998,174,49152,6,281,61.17,-0.02476598184730392,9.860872268676758,0.009555658,1.0116536617279053,-17.17345507144928,0.2,17.566700515151023,50,0.0003,0.6093795299530029,0.09395751953125
11.874154149999999,203,57344,7,281,66.06,-0.028441483128699475,9.501434326171875,0.010073727,1.0152809619903564,-17.19404646754265,0.2,17.358341673016547,60,0.0003,0.6588566303253174,0.112353515625
12.972774999999999,232,65536,8,281,67.89,-0.03210732285369886,7.483345031738281,0.011285705,1.0174537897109985,-17.227765101194382,0.2,15.702980521321297,70,0.0003,0.6744541525840759,0.12838134765625
11.633197889999998,262,73728,9,281,62.55,-0.03121767127813655,5.23576545715332,0.010913856,1.0192631483078003,-17.24610851407051,0.2,14.73162488937378,80,0.0003,0.7258025407791138,0.12227783203125
12.68397359,290,81920,10,281,67.4,-0.03608255366343656,5.956028461456299,0.012440553,1.0225685834884644,-17.28700187206268,0.2,14.458547586202622,90,0.0003,0.7496283650398254,0.15091552734375
13.528061910000003,318,90112,11,282,70.38,-0.035330968980269974,6.924492835998535,0.013138515,1.02739417552948,-17.332226353883744,0.2,14.0794951826334,100,0.0003,0.7601344585418701,0.15732421875
14.57755768,345,98304,12,284,75.75,-0.035009680227085484,6.012965679168701,0.012276661,1.0288413763046265,-17.362279480695726,0.2,13.156204330921174,110,0.0003,0.7629519104957581,0.14810791015625
