rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/explained_variance,train/approx_kl
88.52,19.44000924,155648,704,221,19,0.181103515625,-0.04225125703815138,4.745807647705078,0.2,1.03432035446167,0.0003,10.473656487464904,180,-17.415136218070984,0.841934323310852,0.015276591
97.1,20.22422938,163840,732,223,20,0.1626220703125,-0.04038599307532422,5.425922870635986,0.2,1.0351461172103882,0.0003,11.1511653855443,190,-17.438472884893418,0.8489239811897278,0.013761219
99.49,23.179484000000002,172032,756,227,21,0.15374755859375,-0.03874295812347554,6.79576301574707,0.2,1.0353014469146729,0.0003,12.850696343183518,200,-17.44306007027626,0.8404567241668701,0.013064993
102.23,25.000522330000003,180224,780,231,22,0.1997314453125,-0.04398272065664059,4.498815536499023,0.2,1.0390769243240356,0.0003,9.892749209702014,210,-17.474332135915756,0.8635140061378479,0.016448863
104.2,26.06262458,188416,804,234,23,0.16563720703125,-0.0406609426412615,5.683231353759766,0.2,1.0409058332443237,0.0003,11.359536652266979,220,-17.5059905230999,0.8546933531761169,0.014244039
111.1,30.930813859999997,196608,827,237,24,0.19215087890625,-0.04266522515827091,6.105473041534424,0.2,1.0428812503814697,0.0003,11.655868500471115,230,-17.5261823117733,0.861442506313324,0.015813831
119.64,32.427713510000004,204800,849,241,25,0.20206298828125,-0.044801852617092665,4.264248371124268,0.2,1.0409276485443115,0.0003,11.214588479697705,240,-17.513832980394362,0.8650049567222595,0.016896313
127.39,36.840830149999995,212992,872,244,26,0.20985107421875,-0.045014662740868516,4.785594940185547,0.2,1.0422168970108032,0.0003,11.825317451357842,250,-17.51871554851532,0.8573676943778992,0.016690195
136.83,39.476850940000006,221184,895,246,27,0.1922607421875,-0.044034841858956494,6.283625602722168,0.2,1.0434260368347168,0.0003,13.0906368881464,260,-17.534330773353577,0.8511068224906921,0.016265487
156.76,44.66422252,229376,916,250,28,0.2109619140625,-0.04588019107613946,5.964264392852783,0.2,1.0430024862289429,0.0003,12.622193646430969,270,-17.532723039388657,0.8609435558319092,0.017418606
181.34,54.54018519000001,237568,936,253,29,0.19720458984375,-0.045722008664597524,6.958114147186279,0.2,1.0423774719238281,0.0003,11.699039451777935,280,-17.52131931781769,0.8635638356208801,0.01732738
186.67,57.81256869,245760,957,256,30,0.2064453125,-0.045550106742302886,5.454435348510742,0.2,1.040219783782959,0.0003,12.348028260469437,290,-17.504204815626146,0.8573122620582581,0.017321054
188.96,59.874808869999995,253952,977,259,31,0.22476806640625,-0.04627929245179985,5.895231246948242,0.2,1.040440320968628,0.0003,13.331309121847152,300,-17.500395506620407,0.8461282253265381,0.017303389
182.81,59.377739549999994,262144,998,262,32,0.20927734375,-0.04735912192772958,5.08652925491333,0.2,1.0388431549072266,0.0003,13.327448514103889,310,-17.489305019378662,0.8549016118049622,0.018066635
194.09,63.961775740000014,270336,1015,266,33,0.22362060546875,-0.04687889980559703,5.441920280456543,0.2,1.0424046516418457,0.0003,12.712547805905341,320,-17.51135015487671,0.8791529536247253,0.018699078
207.57,70.80089219,278528,1033,269,34,0.21304931640625,-0.04453176049137255,6.066109657287598,0.2,1.0428218841552734,0.0003,14.111642509698868,330,-17.53081226348877,0.847748339176178,0.018485101
229.04,78.57957644,286720,1049,273,35,0.2180908203125,-0.0457630978547968,6.392283916473389,0.2,1.04474675655365,0.0003,13.839643424749374,340,-17.54774796962738,0.8427923917770386,0.018445242
241.68,86.07940359000003,294912,1065,276,36,0.2076904296875,-0.043582767090993,7.281856060028076,0.2,1.0459131002426147,0.0003,14.926829227805138,350,-17.55949170589447,0.8593580722808838,0.017453212
262.35,94.19859789,303104,1080,280,37,0.2210693359375,-0.04704013814916834,5.257428169250488,0.2,1.0470255613327026,0.0003,13.804562357068061,360,-17.56495732665062,0.8635692596435547,0.019094445
297.91,110.54543331999999,311296,1094,284,38,0.22626953125,-0.04609092622704338,5.173938274383545,0.2,1.0474416017532349,0.0003,14.929069340229034,370,-17.57827118039131,0.8313072919845581,0.018439908
335.43,127.25164264000001,319488,1109,288,39,0.243896484375,-0.04603953511468717,4.621983528137207,0.2,1.0496906042099,0.0003,11.448343810439109,380,-17.597699081897737,0.856664776802063,0.021000206
371.12,141.70250964000002,327680,1123,291,40,0.24403076171875,-0.047584211139474065,4.073402404785156,0.2,1.0502575635910034,0.0003,10.253530815243721,390,-17.610056507587434,0.8567638397216797,0.021064613
419.95,163.63692157999998,335872,1136,295,41,0.26119384765625,-0.04565560412447667,3.6855525970458984,0.2,1.0537091493606567,0.0003,8.990910401940345,400,-17.641832095384597,0.8679727911949158,0.022847591
451.59,176.89675468,344064,1150,299,42,0.24644775390625,-0.04575358086876804,3.6263904571533203,0.2,1.0558465719223022,0.0003,9.676270812749863,410,-17.667437064647675,0.7864790558815002,0.02202294
486.79,194.15272209,352256,1164,302,43,0.27220458984375,-0.04732943132112268,3.355313301086426,0.2,1.059494137763977,0.0003,8.36154367774725,420,-17.712603598833084,0.8502486348152161,0.023060402
514.74,206.03662995000002,360448,1178,305,44,0.24056396484375,-0.04682512258877978,4.904824256896973,0.2,1.0599788427352905,0.0003,9.376341533660888,430,-17.720434176921845,0.8334612846374512,0.0210851
512.58,206.94207827000002,368640,1192,309,45,0.24384765625,-0.04528887610213132,3.9460489749908447,0.2,1.06143319606781,0.0003,9.346010422706604,440,-17.730055540800095,0.8593062162399292,0.020956673
535.49,218.92815000000002,376832,1205,312,46,0.2242919921875,-0.043210053592338225,4.1735734939575195,0.2,1.0633530616760254,0.0003,12.12054160684347,450,-17.75494959950447,0.8623437881469727,0.018933307
572.28,236.52716993,385024,1219,315,47,0.2585205078125,-0.04510004454350565,4.059327602386475,0.2,1.0645480155944824,0.0003,8.983674794435501,460,-17.77737965583801,0.7661226987838745,0.02180572
579.43,240.73546711000003,393216,1233,318,48,0.27979736328125,-0.04439484521135455,3.5940561294555664,0.2,1.0680993795394897,0.0003,7.604756607115268,470,-17.801445585489272,0.8439120650291443,0.024135657
614.63,260.12182205999994,401408,1246,322,49,0.28436279296875,-0.04503435229707975,2.08668851852417,0.2,1.0689003467559814,0.0003,6.557142534852028,480,-17.822134459018706,0.8746587634086609,0.02425669
635.96,271.35895932000005,409600,1259,325,50,0.32965087890625,-0.042007831998489564,1.9884235858917236,0.2,1.069994568824768,0.0003,4.2189961358904835,490,-17.833550810813904,0.8441734313964844,0.031889286
672.35,289.72872772000005,417792,1273,328,51,0.3753662109375,-0.04850413550011581,1.225027322769165,0.2,1.0759562253952026,0.0003,3.250129694491625,500,-17.878905153274538,0.6663288474082947,0.037928656
