rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss,train/n_updates,train/std,train/clip_range,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/entropy_loss
97.03,604,311,23,188416,24.48992405,0.8782313466072083,0.18172607421875,0.0149050215,4.1064605712890625,220,1.0269643068313599,0.2,0.0003,10.002570386230946,-0.04242007021821337,-17.34348010420799
108.88,625,314,24,196608,29.991980830000003,0.8770584464073181,0.184033203125,0.014862047,4.46570348739624,230,1.0266410112380981,0.2,0.0003,10.805068257451058,-0.04256643624903518,-17.344104021787643
104.41,646,316,25,204800,28.34254605,0.8647003173828125,0.20108642578125,0.017026898,4.981159210205078,240,1.0274766683578491,0.2,0.0003,11.427516609430313,-0.046198001135053346,-17.348316091299058
121.14,667,319,26,212992,33.85096257000001,0.8738019466400146,0.18284912109375,0.015973482,5.432309627532959,250,1.026232123374939,0.2,0.0003,11.21700496673584,-0.04334260514660855,-17.336946254968645
131.74,686,322,27,221184,38.13685822,0.8771023750305176,0.19088134765625,0.01676099,4.720412731170654,260,1.0286608934402466,0.2,0.0003,10.9140181183815,-0.043659246133756824,-17.356278800964354
136.85,705,324,28,229376,40.34543696000001,0.8614315986633301,0.1683837890625,0.0149859395,7.962296009063721,270,1.0303995609283447,0.2,0.0003,12.745942947268485,-0.041392399318283424,-17.376505106687546
144.4,723,328,29,237568,43.09916399000001,0.8626225590705872,0.2000732421875,0.01680206,6.370238304138184,280,1.0328789949417114,0.2,0.0003,13.088196125626563,-0.04478782717269496,-17.40314821600914
154.03,742,331,30,245760,46.824030000000015,0.8309628367424011,0.19029541015625,0.01585137,6.240839958190918,290,1.0321606397628784,0.2,0.0003,15.074523624777793,-0.043130951572675255,-17.403576171398164
160.2,760,334,31,253952,50.70021634999999,0.85924232006073,0.20341796875,0.017119464,5.329024314880371,300,1.0333579778671265,0.2,0.0003,14.087968882918357,-0.04451948092755629,-17.41490639448166
173.68,776,337,32,262144,55.853996159999994,0.8737766742706299,0.1949951171875,0.01717815,4.852295875549316,310,1.0341410636901855,0.2,0.0003,13.175369811058044,-0.043726653609337515,-17.42306658029556
187.02,793,340,33,270336,60.09710206999999,0.8604404330253601,0.199853515625,0.017316326,7.047669887542725,320,1.0354444980621338,0.2,0.0003,14.67953410744667,-0.04541178833824233,-17.43283603787422
202.2,808,344,34,278528,65.6471285,0.8650264143943787,0.20302734375,0.016875746,6.193296909332275,330,1.0372980833053589,0.2,0.0003,14.838904449343682,-0.044885000633075836,-17.450662738084795
232.29,823,348,35,286720,77.7718633,0.8412430286407471,0.20279541015625,0.016947398,6.144584655761719,340,1.038124918937683,0.2,0.0003,14.676830694079399,-0.04416705381590873,-17.466611278057098
268.45,837,352,36,294912,94.12972290999997,0.8630977272987366,0.216259765625,0.019018766,7.6409220695495605,350,1.0390344858169556,0.2,0.0003,14.311695539951325,-0.04492024932114873,-17.47896103858948
291.29,852,355,37,303104,104.60478526000001,0.8360173106193542,0.2271728515625,0.018995058,6.076004505157471,360,1.0425056219100952,0.2,0.0003,12.34101419299841,-0.0463067528209649,-17.51168732047081
309.96,866,359,38,311296,114.07461046,0.8692880272865295,0.20628662109375,0.017442811,7.312693119049072,370,1.0455212593078613,0.2,0.0003,14.40242013335228,-0.04407547575319768,-17.540167272090912
340.99,879,363,39,319488,127.69013392000001,0.8461459875106812,0.20164794921875,0.017180169,5.855197906494141,380,1.0469552278518677,0.2,0.0003,13.895072031021119,-0.04327274684183067,-17.56396155953407
399.7,892,367,40,327680,154.41621507,0.8224918842315674,0.22481689453125,0.01957878,5.921227931976318,390,1.0478392839431763,0.2,0.0003,11.853178565204143,-0.04472638908700901,-17.57475084066391
421.26,904,371,41,335872,166.27156492000003,0.8277485966682434,0.2376953125,0.01946676,7.050006866455078,400,1.050889015197754,0.2,0.0003,12.744980058073997,-0.043804359084606406,-17.602030700445177
459.93,918,374,42,344064,184.0367714,0.848450243473053,0.25052490234375,0.022044312,2.835855007171631,410,1.0558068752288818,0.2,0.0003,8.362949350476265,-0.04535178366204491,-17.655702078342436
501.91,931,378,43,352256,202.18483848999998,0.8808820843696594,0.25762939453125,0.021759083,3.212758779525757,420,1.0573616027832031,0.2,0.0003,7.840620104968548,-0.046572138996998545,-17.68383833169937
511.37,944,381,44,360448,209.17149303000002,0.8322412967681885,0.2351318359375,0.019422708,4.828813552856445,430,1.059763789176941,0.2,0.0003,11.455898667871953,-0.044029236161441075,-17.702459114789963
522.04,957,385,45,368640,216.99364749999998,0.8341211080551147,0.25081787109375,0.020679248,4.521735191345215,440,1.0588992834091187,0.2,0.0003,10.129241962730884,-0.04545776357699651,-17.708386093378067
547.44,970,388,46,376832,230.50084262000001,0.865449845790863,0.22669677734375,0.019379735,4.307048320770264,450,1.06039559841156,0.2,0.0003,10.647368933260442,-0.0431782521205605,-17.716562926769257
571.94,983,391,47,385024,243.20056606000003,0.8353977203369141,0.2818115234375,0.025660645,3.048133373260498,460,1.0618141889572144,0.2,0.0003,8.134923650324344,-0.04711011438485002,-17.73478819131851
576.16,996,394,48,393216,246.50568454000003,0.8414037227630615,0.24954833984375,0.02090327,3.3823187351226807,470,1.064501166343689,0.2,0.0003,9.202746964991093,-0.0442768717490253,-17.763920497894286
584.6,1009,397,49,401408,253.59003497,0.852246880531311,0.29942626953125,0.02750653,1.5182435512542725,480,1.0631752014160156,0.2,0.0003,5.3111712604761125,-0.048088531784014774,-17.747770601511
617.73,1022,400,50,409600,271.21207484000007,0.8111935257911682,0.2490234375,0.021935947,1.9934900999069214,490,1.0645395517349243,0.2,0.0003,6.467197962105274,-0.041485717015166304,-17.75988989472389
633.38,1034,403,51,417792,281.71717955,0.8162375688552856,0.29503173828125,0.02614235,1.835838794708252,500,1.066336750984192,0.2,0.0003,5.313667356967926,-0.04337160143622896,-17.783326321840285
676.24,1047,406,52,425984,303.06417997000005,0.8216710686683655,0.2739013671875,0.023219805,2.271439552307129,510,1.067859172821045,0.2,0.0003,6.2273102410137655,-0.041805902183477885,-17.80219516158104
692.74,1060,409,53,434176,313.19302264000004,0.8090952634811401,0.29541015625,0.027244719,1.705856204032898,520,1.07172691822052,0.2,0.0003,4.485406610369682,-0.044449643025291155,-17.834395438432693
717.81,1072,412,54,442368,326.75650533000004,0.8209835886955261,0.2818359375,0.024984576,0.9483134746551514,530,1.0725525617599487,0.2,0.0003,3.9517181225121023,-0.03948246148211183,-17.85435783267021
735.77,1085,415,55,450560,338.01707211,0.8006780743598938,0.24892578125,0.021056708,2.59968900680542,540,1.075945496559143,0.2,0.0003,6.630370357632637,-0.039561373784090394,-17.886304837465286
749.93,1098,417,56,458752,348.5356124599999,0.868833065032959,0.2489501953125,0.021035617,1.9510624408721924,550,1.075976014137268,0.2,0.0003,5.048502394557,-0.03887010437429126,-17.895867538452148
765.1,1110,420,57,466944,358.43667671000003,0.8520826101303101,0.22877197265625,0.019943103,1.2398290634155273,560,1.0786759853363037,0.2,0.0003,5.876593193411827,-0.03907636577350786,-17.912588274478914
765.81,1123,422,58,475136,361.0211695699999,0.7553527355194092,0.349365234375,0.034451835,1.3092634677886963,570,1.0814570188522339,0.2,0.0003,3.7814689442515372,-0.04274311048429809,-17.94533616900444
779.67,1136,425,59,483328,369.8646393299998,0.793857216835022,0.3382568359375,0.034595244,0.7072938084602356,580,1.0814424753189087,0.2,0.0003,3.153990837559104,-0.04456981160037685,-17.955890774726868
789.5,1149,427,60,491520,377.81297227999994,0.8387494087219238,0.27723388671875,0.02396828,0.7965332269668579,590,1.0862503051757812,0.2,0.0003,3.2425563812255858,-0.0420311181958823,-17.98628233075142
789.0,1162,429,61,499712,380.18754623,0.8295350074768066,0.2801025390625,0.026922658,0.6480798721313477,600,1.0906814336776733,0.2,0.0003,3.0064517114311458,-0.040761407821264584,-18.04301695227623
804.72,1174,432,62,507904,391.75169336000005,0.854010283946991,0.19149169921875,0.015466287,1.9214506149291992,610,1.0914984941482544,0.2,0.0003,5.429203741252422,-0.036645962379407135,-18.056892704963683
804.91,1187,434,63,516096,393.58939826,0.8706056475639343,0.19776611328125,0.017348358,1.892349123954773,620,1.0925477743148804,0.2,0.0003,5.717803011834621,-0.03801634081755765,-18.068981051445007
822.22,1199,436,64,524288,404.85973364000006,0.8189811706542969,0.20474853515625,0.019243876,1.846097707748413,630,1.0949169397354126,0.2,0.0003,4.849516851454974,-0.03613505069079111,-18.09416112303734
825.8,1212,439,65,532480,409.86473560999997,0.7534197568893433,0.383544921875,0.040261745,0.6626542210578918,640,1.101155161857605,0.2,0.0003,2.426034616306424,-0.041582597920205445,-18.14850913286209
829.75,1225,441,66,540672,414.93187207999995,0.8482879996299744,0.2070068359375,0.01765943,0.9175823330879211,650,1.1033028364181519,0.2,0.0003,3.9068967547267675,-0.03571141092979815,-18.179706740379334
819.31,1237,443,67,548864,412.00491890000006,0.8667681813240051,0.1843017578125,0.015360255,1.8635579347610474,660,1.1046373844146729,0.2,0.0003,4.878397598862648,-0.03614487364175147,-18.199912738800048
814.45,1250,445,68,557056,412.54851778999995,0.855383038520813,0.23243408203125,0.022338286,1.0144025087356567,670,1.1078379154205322,0.2,0.0003,3.765031820908189,-0.036554625128337646,-18.237338441610337
806.89,1262,447,69,565248,411.70876608999987,0.8656427264213562,0.20673828125,0.017242903,2.6092519760131836,680,1.1115939617156982,0.2,0.0003,6.112201590836048,-0.03905766630487051,-18.26703852415085
816.29,1274,449,70,573440,418.98749301000004,0.8588072657585144,0.21392822265625,0.01870868,2.8725194931030273,690,1.1156105995178223,0.2,0.0003,5.599751359224319,-0.03792626397917047,-18.312489706277848
830.56,1287,451,71,581632,429.32538799,0.7708953619003296,0.28170166015625,0.028707922,1.3751589059829712,700,1.121712327003479,0.2,0.0003,3.967493215203285,-0.04244286986504449,-18.36412882208824
828.99,1299,453,72,589824,430.14003415000013,0.789406418800354,0.3451171875,0.033852115,1.0597660541534424,710,1.1245728731155396,0.2,0.0003,3.0135263625532387,-0.044397201915853654,-18.418049639463426
840.62,1312,455,73,598016,438.98098429000004,0.8292770981788635,0.25489501953125,0.023267526,0.972242534160614,720,1.1264187097549438,0.2,0.0003,4.399378634616733,-0.0384357800372527,-18.425308698415755
824.44,1325,457,74,606208,433.95800110999994,0.8757594227790833,0.3566650390625,0.03320914,0.7340943813323975,730,1.132856845855713,0.2,0.0003,2.6667929105460644,-0.04531440177452169,-18.498823636770247
836.31,1337,459,75,614400,443.37358661999997,0.8756577968597412,0.21551513671875,0.020191975,1.959722638130188,740,1.131649136543274,0.2,0.0003,5.0119694031775,-0.03786515696847346,-18.506223094463348
