time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range
368640,1709,45,693.79,296.38469940999994,215,1.0555638074874878,440,3.3909382820129395,-0.04022041627322324,-17.66202379465103,0.22313232421875,0.0003,7.370924782007933,0.01748481,0.8514223098754883,0.2
376832,1754,46,714.05,307.10205443000007,214,1.057953953742981,450,1.589224934577942,-0.041479179587622636,-17.692816960811616,0.28182373046875,0.0003,4.984894582629204,0.024056029,0.8263395428657532,0.2
385024,1796,47,724.6,315.72602353999997,214,1.0587716102600098,460,2.432847499847412,-0.038808196718309776,-17.705130559206008,0.21375732421875,0.0003,7.3403085641562935,0.01767906,0.8107620477676392,0.2
393216,1843,48,757.96,332.84204834999997,213,1.0599175691604614,470,2.439101457595825,-0.04160917773115216,-17.711419743299484,0.273486328125,0.0003,5.4483304537832735,0.025015023,0.7992740869522095,0.2
401408,1888,49,776.54,344.04968753,212,1.0625108480453491,480,0.922850489616394,-0.04463937718246598,-17.73935180902481,0.33619384765625,0.0003,3.2297644179314373,0.030197408,0.8311562538146973,0.2
409600,1931,50,802.62,360.08907847,212,1.0652810335159302,490,2.7736294269561768,-0.041166041819087694,-17.76365828514099,0.24053955078125,0.0003,4.958901724219322,0.021046206,0.832930326461792,0.2
417792,1979,51,824.02,372.89548728999995,211,1.0675275325775146,500,1.014067530632019,-0.039985369534406345,-17.791930627822875,0.25982666015625,0.0003,3.900611988827586,0.023973614,0.8401132822036743,0.2
425984,2021,52,832.41,379.2234276699999,210,1.0714365243911743,510,0.8615970015525818,-0.04400953247968573,-17.82511425614357,0.3388671875,0.0003,2.325097991526127,0.034159403,0.7907807230949402,0.2
434176,2063,53,802.74,368.1445930899999,210,1.07395601272583,520,1.0013861656188965,-0.034371160762384535,-17.867478203773498,0.25989990234375,0.0003,3.7091372549533843,0.021928534,0.7474097013473511,0.2
442368,2084,54,820.41,380.16454403000006,212,1.0765310525894165,530,1.731432557106018,-0.03767081406767829,-17.90161802768707,0.23603515625,0.0003,3.9203809674829246,0.01979423,0.8238277435302734,0.2
