time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/entropy_loss,train/learning_rate,train/std
8192,63.96,26,306,1,6.187939610000002,,,,,,,,,,,
16384,65.37,54,300,2,9.51588028,11.198880195617676,0.2,-0.017627596855163574,-0.025603124665940412,10,0.010529143,0.1271240234375,25.391985630989076,-17.04805455207825,0.0003,1.0027333498001099
24576,62.17,82,296,3,7.887681270000001,8.539249420166016,0.2,0.13123154640197754,-0.0275005215240526,20,0.010232871,0.11243896484375,20.541221058368684,-17.062225109338762,0.0003,1.003269076347351
32768,64.64,112,290,4,9.897321299999998,6.177764415740967,0.2,0.40996694564819336,-0.024976379020517924,30,0.009944874,0.10643310546875,18.056590238213538,-17.082893151044846,0.0003,1.0054410696029663
40960,62.21,141,288,5,10.29943018,7.390355587005615,0.2,0.5224781632423401,-0.024210312351351605,40,0.009405455,0.0978759765625,18.37175516784191,-17.10072205066681,0.0003,1.0062428712844849
49152,62.51,171,286,6,9.24916693,6.191100120544434,0.2,0.6219596862792969,-0.025605119384999854,50,0.009542204,0.10108642578125,16.834399363398553,-17.113931387662888,0.0003,1.0077691078186035
57344,64.71,200,286,7,10.476240940000002,10.8270902633667,0.2,0.6061694025993347,-0.02627167436876334,60,0.009841917,0.10938720703125,20.344315934181214,-17.114143204689025,0.0003,1.0066159963607788
65536,60.36,229,285,8,11.5833329,7.44035530090332,0.2,0.6725862622261047,-0.030462821961555163,70,0.01091145,0.118701171875,16.446210432052613,-17.14606550335884,0.0003,1.0118002891540527
73728,63.14,258,284,9,12.87179266,7.230719089508057,0.2,0.7304038405418396,-0.032582708597328744,80,0.011364592,0.13272705078125,12.448100686073303,-17.176310455799104,0.0003,1.0127484798431396
81920,67.95,287,285,10,13.20906888,4.615525245666504,0.2,0.7726176977157593,-0.03608302990760422,90,0.013406387,0.15872802734375,11.718358489871026,-17.18616931438446,0.0003,1.013318419456482
90112,66.35,315,285,11,13.484862280000002,4.806790828704834,0.2,0.775505542755127,-0.03649500933970558,100,0.013581481,0.15889892578125,12.441525596380234,-17.236497503519058,0.0003,1.0191794633865356
98304,69.03,343,286,12,13.53650163,4.477905750274658,0.2,0.8053609132766724,-0.03898617462109542,110,0.013666614,0.16158447265625,10.868775275349616,-17.253039634227754,0.0003,1.0191010236740112
106496,68.54,371,286,13,13.341982889999999,5.095867156982422,0.2,0.7741017937660217,-0.03798869612000999,120,0.013193433,0.14842529296875,13.077918907999992,-17.27754099369049,0.0003,1.021604299545288
114688,79.03,396,288,14,16.482606840000003,5.0682196617126465,0.2,0.8073074817657471,-0.038949918330763465,130,0.014320655,0.167138671875,10.482502575218678,-17.305108547210693,0.0003,1.0242880582809448
122880,72.61,423,290,15,13.768930389999998,5.218912124633789,0.2,0.7826709747314453,-0.03873150761355646,140,0.013065084,0.15706787109375,12.497117015719414,-17.342744237184526,0.0003,1.0276678800582886
131072,80.79,448,292,16,17.941542589999997,4.284572601318359,0.2,0.8110011219978333,-0.03941680560092209,150,0.013476254,0.16881103515625,11.512680871784687,-17.36355096101761,0.0003,1.0287388563156128
139264,78.36,473,293,17,18.337730699999998,3.4452810287475586,0.2,0.8225958347320557,-0.041178281087923096,160,0.014577351,0.17464599609375,10.78222602158785,-17.355303829908372,0.0003,1.0269204378128052
